Date,State_Name,SL_No,District_Name,Date_of_Sanction,Project_Cost_Lakhs,ApprShare_Central,ApprShare_State,ApprShare_Beneficiary,CompSanc_IHHL_BPL,CompSanc_IHHL_APL,CompSanc_IHHL_TOTAL,CompSanc_IHHL_SCW,CompSanc_School_Toilets,CompSanc_Anganwadi_Toilets,CompSanc_RSM_PC
3/15/2013,D & N HAVELI,24,RAJASTHAN,32,102243.17,69096.73,25759.93,7386.51,1960903,5023430,6984333,1544,85662,32269,317
3/15/2013,D & N HAVELI,25,SIKKIM,4,2053.82,1338.56,440.74,274.52,51302,35712,87014,789,1604,340,12
3/15/2013,D & N HAVELI,26,TAMIL NADU,29,114367.01,69366.01,28683.56,16317.44,4422133,4244955,8667088,1438,53678,27970,249
3/15/2013,D & N HAVELI,27,TRIPURA,4,9838.52,6120.24,2400.5,1317.78,454757,169017,623774,226,6833,6024,35
3/15/2013,D & N HAVELI,28,UTTAR PRADESH,71,294726,192171.8,71925.16,30629.04,8303794,12372693,20676487,2366,269860,107302,428
3/15/2013,D & N HAVELI,29,UTTARAKHAND,13,15091.07,9993.12,3641.26,1456.69,441631,444670,886301,470,3925,1601,81
3/15/2013,D & N HAVELI,30,WEST BENGAL,19,174147.94,111799.51,43820.36,18528.07,6619158,4997498,11616656,1140,134081,84168,441
3/15/2013,D & N HAVELI,,Total,607,2267236.73,1488892.13,554919.94,223424.66,61838922,63887805,125726727,33684,1375234,534931,4634
3/15/2013,GOA,2,ARUNACHAL PRADESH,16,6700.94,4662.35,1562.98,475.61,115560,18301,133861,318,3944,1866,39
3/15/2013,GOA,3,ASSAM,26,92814.8,65248.07,20582.96,6983.77,2220017,1161020,3381037,211,34772,16819,115
3/15/2013,GOA,4,BIHAR,38,293380.8,197840.73,71151.11,24388.96,6195779,4975535,11171314,2362,102268,16444,364
3/15/2013,GOA,5,CHHATTISGARH,16,67877.81,45596.64,16475.61,5805.56,1568600,1823853,3392453,618,52338,10211,106
3/15/2013,GOA,6,D & N HAVELI,1,91,80.69,0,10.31,2480,0,2480,12,0,0,1
3/15/2013,GOA,7,GOA,2,1059.43,634.96,292.25,132.22,17935,27388,45323,150,731,547,3
3/15/2013,GOA,8,GUJARAT,25,70231.96,43924.9,17352.98,8954.08,2046857,3331630,5378487,1671,40439,30516,168
3/15/2013,GOA,9,HARYANA,20,23087.84,13922.67,5687,3478.17,636940,1458494,2095434,1335,9160,7599,17
3/15/2013,GOA,10,HIMACHAL PRADESH,12,19632.55,13118.4,4997.33,1516.82,218167,632583,850750,1229,20738,10308,59
3/15/2013,GOA,11,JAMMU & KASHMIR,21,40598.74,28374.07,9628.36,2596.31,703071,767732,1470803,1080,27277,1070,103
3/15/2013,GOA,12,JHARKHAND,24,90728.43,60485.48,22185.77,8057.18,2327306,1402189,3729495,1203,42687,11472,249
3/15/2013,GOA,13,KARNATAKA,29,108474.68,70077.23,26898.26,11499.19,2889224,2981691,5870915,1305,39267,26353,296
3/15/2013,GOA,14,KERALA,14,22189.92,11873.91,5544.08,4771.93,961831,111911,1073742,1090,3600,4957,98
3/15/2013,GOA,15,MADHYA PRADESH,50,170288.99,113086.85,41987.69,15214.45,3614346,4852847,8467193,1602,137730,27595,385
3/15/2013,GOA,16,MAHARASHTRA,33,148969.04,97771.77,36414.52,14782.75,3623439,6104904,9728343,8210,87452,60076,355
3/15/2013,GOA,17,MANIPUR,9,11274.03,7908.73,2579.5,785.8,194887,68367,263254,386,3919,1201,35
3/15/2013,GOA,18,MEGHALAYA,7,14008.99,9562.87,3411.07,1035.05,216333,85500,301833,290,10331,1851,36
3/15/2013,GOA,19,MIZORAM,8,6302.14,4331.58,1521.5,449.06,89903,18975,108878,560,5905,1630,20
3/15/2013,GOA,20,NAGALAND,11,7957.58,5607.04,1759.75,590.79,180092,31254,211346,275,2972,1302,29
3/15/2013,GOA,21,ORISSA,30,156204.83,104509.1,37841.95,13853.78,4485050,2571598,7056648,818,70663,25160,289
3/15/2013,GOA,22,PUDUCHERRY,1,572.56,481.72,0,90.84,18000,0,18000,0,26,16,3
3/15/2013,GOA,23,PUNJAB,20,24134.47,15139.89,6532.4,2462.18,623198,544370,1167568,411,7464,3274,81
